content_type,genre,content_id,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,rock,spotify:track:6RZmhpvukfyeSURhf4kZ0d,84,198.357142857143,487.978279250632,2.46009935524266,0.590071678161621,1.87325342716453,3.17462012920309,4.48174831867217,10.5,28,8,0.945808081412902,48.9759492874146,1.71512755183258
music,rock,spotify:track:6K4t31amVTZDgR3sKmwUJJ,103,191.155339805825,462.122934875024,2.41752563828165,0.550877318662756,1.82920840908713,3.32053680033061,4.52436333894728,10.2135922330097,30,9,0.936183800942675,56.1894865036011,1.83308313368194
music,rock,spotify:track:2X485T9Z5Ly0xyaghN73ed,116,193.784482758621,455.865523993767,2.35243564141096,0.475893101484879,1.64920405229081,3.46549266451851,4.80327243804932,9.70689655172414,30,8,0.897930341122016,54.7277066707611,2.11958452229416
music,rock,spotify:track:5hM5arv9KDbCHS0k9uqwjr,118,196.635593220339,454.888711762619,2.31335896168552,0.501078621953981,1.7867743430984,3.56585626449357,3.57439465522766,10.1101694915254,30,10,0.942315164819613,58.6261987686157,2.01275202006051
music,rock,spotify:track:3LbZIhU0smEU5SUnxod4j4,83,165.518072289157,393.200134866374,2.37557222258764,0.727688914392053,2.17385063123813,2.98733509367017,4.55788561105728,8.14457831325301,30,9,0.954295882070343,59.6704909801483,1.39097229864613
music,rock,spotify:track:5ibXqGCuO5jGcb41gLlaZe,103,200.961165048544,466.89500955585,2.32330962772368,0.542998589721381,1.8658713450285,3.43623607933475,4.32415995597839,10.8349514563107,30,9,0.936022446995765,55.3858561515808,1.85968056028796
music,rock,spotify:track:4m3GHOgCNZMv0we7H9j8Y8,108,196.861111111111,460.201756445803,2.33769764809495,0.53581773677719,2.00022493957,3.73303233969233,3.93318972587585,9.67592592592593,28,8,0.916427594843721,57.3324978351593,1.88374838142441
music,rock,spotify:track:45hbq2jmD0Mg5MbPy6kdGb,105,196.714285714286,462.251090586382,2.34986030072961,0.489695140948662,1.73095287860164,3.53475608364901,2.8346629858017,9.59047619047619,28,9,0.90736415994195,50.9282946586609,2.06172228431654
music,rock,spotify:track:4aetgBuI5iRQpjy8gdGxY8,115,198.086956521739,465.292887007133,2.34893248489115,0.467084606488546,1.83423412993043,3.92698475704404,2.32821670770644,10.0434782608696,30,6,0.848106692093853,53.2476451396942,2.15971992185381
music,rock,spotify:track:0LtOwyZoSNZKJWHqjzADpW,82,201.780487804878,493.384528818862,2.44515480255933,0.54191929028358,2.08190746923196,3.84172976780828,2.11279249191284,10.6219512195122,28,5,0.868416127682686,43.89546251297,1.86807463244683
music,rock,spotify:track:52ojopYMUzeNcudsoz7O9D,115,211.365217391304,487.891725879292,2.30828767335001,0.426445795778643,2.08555704103724,4.89055599019154,1.07249428033828,11.7652173913043,29,6,0.940170933338542,48.6148207187653,2.36553376726966
music,rock,spotify:track:5M4yti0QxgqJieUYaEXcpw,98,192.040816326531,461.517106021385,2.40322403773091,0.497263102187324,2.14518412274997,4.31398210185694,2.21422538757321,12.5204081632653,34,5,0.929310900341754,48.2345209121704,2.03173988559868
music,rock,spotify:track:6IM45SqAURH6PrvziDs1RQ,120,210,502.284663645361,2.39183173164458,0.478901798985585,2.15923818083417,4.50872848130429,0.904611086845391,12.3666666666667,40,6,0.916110193766563,56.9893140792847,2.10565791041201
music,rock,spotify:track:5JWPUEov2wlX7c0jhYZpeB,98,197.765306122449,472.827616709161,2.39085219738392,0.609981428716601,1.84363266531603,3.0224406490457,5.79501886367797,9.94897959183673,28,8,0.876748150573851,59.1681985855103,1.6562951440607
music,rock,spotify:track:2drEUEg0TYQR6dDEHkpuPE,89,194.988764044944,475.715038259841,2.43970487525215,0.673459242690693,2.45762796915137,3.64926013834531,4.20076802968977,8.86516853932584,30,8,0.96191780163254,59.264413356781,1.50174438518789
music,rock,spotify:track:6qZjm61s6u8Ead9sWxCDro,112,189.6875,449.407050441587,2.36919697102649,0.494035594098203,1.78760413724645,3.61837114289202,3.59029567241669,10.4375,30,9,0.934231090503548,54.8379509449005,2.04238119897175
music,rock,spotify:track:2a2MbiJN2skOxohykOVcss,110,189.336363636364,448.954569017091,2.37120096950497,0.491058224931769,1.64106645735712,3.34189791360309,4.47812752723693,10.0454545454545,28,9,0.955344633996443,53.5253465175629,2.05510112790968
music,rock,spotify:track:5h9hkYIBWTZYFRmF6Iz1gt,112,192.419642857143,450.180928675049,2.33957885998819,0.519847536946202,1.84169294153117,3.54275592484295,3.61127495765686,9.75,28,9,0.896273759680564,57.7030766010284,1.94097102957598
music,rock,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,446,234.428251121076,681.503279660796,2.9070868225213,0.13150755635808,0.785750075869763,5.9749424111437,0.0408278942108154,92.4260089686099,182,12,0.915490798025904,58.5208625793457,7.62121370639897
