content_type,content_id,genre,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,spotify:track:325toqbCzE1g1pYIED7U4C,progressive rock,62,114.5,219.748738482195,1.91920295617638,0.79185830178808,1.87516269079878,2.36805333298206,4.6949737071991,4.46774193548387,14,10,0.954921506236155,48.3033564090729,1.28355469700558
music,spotify:track:09BINxFxiDeywjfC39nRFi,progressive rock,50,88.46,138.151251894436,1.56173696466693,1.09735545820119,2.29785138115056,2.09399002299331,6.79402594566344,4.14,12,10,0.97582221591371,53.7704174518585,0.929879334575852
music,spotify:track:3TO7bbrUKrOSPGRTB5MeCz,progressive rock,64,111.171875,213.766998935721,1.92285143104513,0.885538237435477,2.40556929203448,2.71650527367516,6.68032672405243,6.046875,21,9,0.970870273978263,55.7889089584351,1.14718142359949
music,spotify:track:6pnwfWyaWjQiHCKTiZLItr,progressive rock,96,113.135416666667,211.320580900977,1.8678552404469,0.60602573344582,1.77047540416625,2.9214525167099,3.98282022476196,5.07291666666667,13,9,0.854250040692393,57.5724446773529,1.6674643666428
music,spotify:track:1bQ4zbP8Fo0qAePTSOfYji,progressive rock,68,122.088235294118,250.707747322403,2.05349636448126,0.87754502225278,2.617168961071,2.98237571259007,4.2799204826355,4.67647058823529,16,8,0.881655746222511,58.7955164909363,1.15655077220867
music,spotify:track:4hO2y5DRbeMppklIroS1O8,progressive rock,87,105.850574712644,218.500928677667,2.06423941741308,0.649741061898165,2.26303608634776,3.48298148147893,3.36754113435745,4.89655172413793,16,9,0.917310570881564,55.8777313232422,1.55697087085947
music,spotify:track:7F02x6EKYIQV3VcTaTm7oN,progressive rock,90,128.366666666667,260.323621244362,2.02796900476002,0.559295549821318,1.76898483709891,3.16288022971766,3.83569083213806,8.15555555555556,28,9,0.935600444187621,49.7773039340973,1.80805292546892
music,spotify:track:6H2iNAzdJZ7mQXcHrH79tA,progressive rock,70,126.928571428571,273.913611064749,2.15801381818035,0.864516019821167,2.75307031602931,3.18452203650178,6.52489871978759,6.41428571428572,20,8,0.981359498254829,59.6516053676605,1.17348057220854
music,spotify:track:1sprwwKwSoNB6zxxaYGhWf,progressive rock,65,95.0615384615385,198.77160274841,2.0909781807164,0.734398771077395,2.06983463871052,2.81840700206236,5.21637291908264,5.64615384615385,16,7,0.898909670532472,47.0015213489533,1.38293395903977
music,spotify:track:0u90NnJ2p3Q2MIP9IaAsg5,progressive rock,75,96.12,175.448222941509,1.8253040256087,0.776504626145234,2.76872364197779,3.56562414279801,5.46328593492506,5.73333333333333,16,6,0.919180612078143,57.4613423347473,1.30522533850809
music,spotify:track:1IAiDrvZCOx8AHlNZGY5yU,progressive rock,58,95.4827586206897,189.969529442298,1.98956892518116,0.982775299172652,2.66751794187906,2.71427043814054,7.31296010017395,4.37931034482759,13,7,0.919650324418272,56.0181920528412,1.03537793481963
music,spotify:track:5VWC7v2dC2K0SIIjT9WTLN,progressive rock,81,131.851851851852,335.555412476464,2.5449427350743,0.668888494372368,2.06977817035843,3.09435457146045,4.49673726558685,7.12345679012346,25,8,0.909865105970599,53.5110795497894,1.51370521173346
music,spotify:track:6uE9hF8fIb6shBXrrzA12U,progressive rock,46,81.5652173913043,89.2263005128735,1.09392585916636,0.863238514794244,2.89296002911375,3.35128701921195,5.35647020339965,8.10869565217391,24,5,0.957616003808831,38.845733165741,1.18417123970178
music,spotify:track:1ABSzfyYSTmSrUx5NBxYaV,progressive rock,84,112.202380952381,229.803217048325,2.04811355247314,0.670786837497389,2.58603905683011,3.85523226197797,4.05194387435913,5.36904761904762,15,7,0.923640806954753,55.6753075122833,1.50874784088921
music,spotify:track:6uU0Hu8oVk9gBihokcrDMH,progressive rock,43,64.2558139534884,13.5029592333833,0.210143773809439,0.983260410172599,2.14788473111011,2.18445155412398,5.55538452863693,3.06976744186047,10,8,0.907597444699948,41.2969372272491,1.04123944503146
music,spotify:track:7KA6U0WOHdGxWWLGPYN2Sb,progressive rock,61,99.2459016393443,194.070348554645,1.95544949815549,0.760720698038737,3.0104410706807,3.95735396505197,3.64564809799194,4.44262295081967,13,5,0.878609773865697,45.6432418823242,1.33645195837027
music,spotify:track:2dxfyqdrI8XVOT3H1YcOsU,progressive rock,86,133.918604651163,288.685159441517,2.15567627958413,0.67912093891817,1.82104124621347,2.68146826559989,5.32605972290039,6.05813953488372,20,10,0.93694934868201,57.7252798080444,1.48981521243341
music,spotify:track:3c8LKbUsjW9lMYQzVScXQT,progressive rock,50,81,89.5383716626564,1.10541199583526,0.798063516616821,1.80234803607797,2.25840174190463,4.93007082939147,4.46,14,8,0.939025884050108,39.1051123142242,1.27860520123894
music,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,progressive rock,61,106.688524590164,193.677401288726,1.81535363838542,0.964058430989583,2.6290939293334,2.72711056178897,6.90574789047241,5.0327868852459,16,8,0.931558366507669,57.843505859375,1.05456955095873
music,spotify:track:3ieDOGcOqVxScs2VZBzidt,progressive rock,42,108.642857142857,221.874355417287,2.04223601304538,1.42375435480257,4.16022938716757,2.92201345908751,4.7980580329895,3.97619047619048,14,7,0.95334828373579,58.3739285469055,0.719499287532987
music,spotify:track:5hM5arv9KDbCHS0k9uqwjr,neo-psychedelic,75,221.72,565.925167255648,2.55243174840181,0.784271494762318,2.25308505749103,2.87283813390904,4.22432465553283,5.30666666666667,16,10,0.922218668662397,58.0360906124115,1.292299312524
