content_type,genre,content_id,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,rap,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,125,198.44,495.745005421134,2.4982110734788,0.4388967079501,1.43353921545576,3.26623369346107,3.58107764720916,9.536,31,9,0.824230941139469,54.4231917858124,2.29681494043843
music,rap,spotify:track:4kjI1gwQZRKNDkw1nI475M,75,214.773333333333,440.286530139433,2.05000557241479,0.672303531620954,2.57681741227507,3.83281849801123,3.87282357215881,5.76,16,5,0.906618284549519,49.7504613399506,1.50752370892637
music,rap,spotify:track:3eekarcy7kvN4yt5ZFzltW,51,80.6862745098039,90.1801008866404,1.11766346177853,0.955973944664001,2.65639851608339,2.77873526879129,6.37086710929871,4.15686274509804,14,7,0.950913932951486,47.7986972332001,1.0669746865941
music,rap,spotify:track:7wBJfHzpfI3032CSD7CE2m,30,65.2,14.4346804606129,0.221390804610627,1.52019786834717,3.55800772107196,2.34048987645299,9.85383644104002,2.43333333333333,6,7,0.982924329238122,44.0857381820679,0.680492178130357
music,rap,spotify:track:6gBFPUFcJLzWGx4lenP6h2,52,100.269230769231,210.773494482422,2.10207551075679,1.14308141727074,2.78603863422165,2.43730550783837,7.11510396003723,4.5,16,8,0.970468126338688,58.2971522808075,0.891981820132908
music,rap,spotify:track:2xLMifQCjDGFmkHkpNLD9h,30,65.2,14.4346804606129,0.221390804610627,1.49961785612435,3.20955568749396,2.14024904703976,8.22023429870605,2.56666666666667,6,5,0.937567628764669,43.4889178276062,0.689830915520192
music,rap,spotify:track:51EC3I1nQXpec4gDk0mQyP,109,288.43119266055,682.003502465817,2.36452755395445,0.505709129351157,2.01898891482008,3.99239166872568,3.08793578147888,10.8348623853211,40,8,0.935290287853864,54.6165859699249,1.99573074853162
music,rap,spotify:track:28drn6tQo95MRvO0jQEo5C,296,23418.5675675676,30109.1847287372,1.28569711370543,0.185645691014953,1.28074304225035,6.89885682370721,0.0421005249023438,86.3783783783784,224,7,0.868269825931406,54.765478849411,5.40486463770203
music,rap,spotify:track:3xby7fOyqmeON8jsnom0AT,328,25455.4786585366,29588.2382408055,1.16235246006199,0.169758924285935,1.16525371380205,6.86416763480043,0.0317209482192993,131.557926829268,293,8,0.92158258415347,55.5111682415009,5.9087209005049
music,rap,spotify:track:08F16baYbciTva9P4BvpiI,48,163.979166666667,459.660811975496,2.80316592235088,1.01037474896045,3.23101401872233,3.19783725993412,5.63563103675842,5.16666666666667,18,5,0.942130482558656,47.4876132011414,1.01078990423647
