content_type,genre,content_id,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,edm,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,126,196.420634920635,444.431514055103,2.2626518554666,0.472754802703857,1.7235219482861,3.64569950094351,3.01771330833435,9.5952380952381,34,10,0.881837618036044,59.0943503379822,2.13218352142565
music,edm,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,155,12723.2258064516,24423.4350323878,1.91959455910964,0.331777182492343,1.13859797706778,3.43181519752058,2.5136546254158,13.2903225806452,54,10,0.801145611717033,51.0936861038208,3.03364293750591
music,edm,spotify:track:7cMFjxhbXBpOlais7KMF3j,42,64,13.076696830622,0.204323387978469,1.0520143567062,2.18890120955833,2.0806761767127,5.21311616897583,2.78571428571429,8,7,0.887953812519578,43.1325886249542,0.973741695987637
music,edm,spotify:track:0DiWol3AO6WpXZgp0goxAV,76,5336.97368421053,15068.0511233936,2.82333247547622,0.75826065381368,2.62100583020021,3.45660270913153,5.54518675804138,9.19736842105263,27,7,0.920836472078517,56.869549036026,1.33639181755873
music,edm,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,97,9874.19587628866,21937.8283114689,2.221733150357,0.608848077555498,2.74844696710945,4.51417532292188,2.41513913869858,15.9278350515464,46,7,0.958872130888728,58.4494154453278,1.65955466382263
music,edm,spotify:track:0dEIca2nhcxDUV8C5QkPYb,55,115.818181818182,222.846305854636,1.92410468163343,0.846492970431293,2.4358239116169,2.87754771356912,4.10655812025069,5.09090909090909,19,7,0.890485249966152,45.7106204032898,1.20322147270707
music,edm,spotify:track:7Bxv0WL7UC6WwQpk9TzdMJ,48,102,207.830459750249,2.03755352696323,1.23092894351229,3.07745582114237,2.50010842409902,6.87070078849792,4.33333333333333,16,7,0.944339695036146,57.8536603450775,0.829679569342652
music,edm,spotify:track:5CMjjywI0eZMixPeqNd75R,85,7032.10588235294,17052.9415306455,2.425012054133,0.569159661020551,1.85142738573182,3.25291392297911,6.16953296661376,7.76470588235294,23,6,0.879741804211843,47.8094115257263,1.77789262171239
music,edm,spotify:track:09TlxralXOGX35LUutvw7I,50,100.38,204.234168541897,2.03461016678519,1.08604261826496,3.44115231354543,3.16852419571062,6.47173762321472,3.98,14,6,0.902324708111109,53.2160882949829,0.939565488595183
music,edm,spotify:track:1LaCW0R8Q7oIY3tKtDgZOw,51,76,58.7710746514497,0.773303613834865,0.761049547195435,2.10823853453062,2.77017251018642,6.12314473390578,4.35294117647059,11,6,0.94685500879936,38.0524773597717,1.34025439441996
music,edm,spotify:track:2KHRENHQzTIQ001nlP9Gdc,101,11025.1386138614,22298.3516044979,2.0225007943631,0.468548760414124,1.74020947478753,3.71404135878934,2.17660014629364,18.5049504950495,54,7,0.872140878921642,46.8548760414124,2.15559208631204
music,edm,spotify:track:37M8nuFfSrlKfTR0AAp7gK,121,2332.19008264463,9850.13261085717,4.22355479690894,0.490010966857274,1.80114843828703,3.67573087157384,3.30256718397141,9.01652892561983,30,9,0.914229704550646,58.8013160228729,2.05777707344054
music,edm,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,89,12797,23388.866434719,1.82768355354528,0.642420346086675,2.34598220605377,3.65178690299023,5.51111040115354,15.8988764044944,51,7,0.922307484840746,56.5329904556274,1.57430200105646
music,edm,spotify:track:1NeLwFETswx8Fzxl2AFl91,75,128.72,242.098413047256,1.88081427165364,0.734737976177319,2.33900381117103,3.18345299550236,7.04830598831177,5.89333333333333,15,6,0.885612939003398,54.3706102371216,1.37942170729571
music,edm,spotify:track:69kOkLUCkxIZYexIgSG8rq,82,17287.7682926829,27681.7996257375,1.60123615478198,0.721838159325682,2.42587028373797,3.36068445869381,7.06445240974426,17.8414634146341,52,7,0.955881026309551,58.4688909053803,1.40245519848666
music,edm,spotify:track:6vuPZX9fWESg5js2JFTQRJ,57,116.035087719298,223.58364853374,1.92686240798657,1.03083203520094,2.85443794206471,2.76906212126819,8.90187513828278,6.36842105263158,23,7,0.943583473918971,57.7265939712524,0.987413184785954
music,edm,spotify:track:0k1xMUwn9sb7bZiqdT9ygx,58,767.862068965517,4624.6077017157,6.02270627581081,0.850023997457404,2.21431163997068,2.60499897249271,6.56172494888305,4.60344827586207,14,8,0.962959095228955,48.451367855072,1.19707662688678
music,edm,spotify:track:6iZRqJjpbOVEv4mFTpqg1d,61,101.491803278689,186.702939553002,1.83958638551657,0.972166653474172,3.11908171895753,3.2083817191333,6.6681706905365,5.32786885245902,16,7,0.921095842271356,58.3299992084503,1.04577405842246
music,edm,spotify:track:7oaEjLP2dTJLJsITbAxTOz,94,14340.5425531915,25721.6496706588,1.79363155719199,0.637961992653467,2.47798056782511,3.88421347409503,5.14026083946228,17.5744680851064,50,7,0.944865414671797,59.3304653167725,1.58434624603267
music,edm,spotify:track:2LD2gT7gwAurzdQDQtILds,68,5394.83823529412,15530.9020188124,2.87884480339115,0.761149345938839,2.29865859146941,3.01998366514279,4.72606511116027,5.07352941176471,14,8,0.878741149119814,50.9970061779022,1.333411607787
music,edm,spotify:track:4zu9wo2FXoBSsKjO6tRB3R,63,6626.01587301587,16839.1680595051,2.54137152433965,0.941778817484456,2.87585982697405,3.0536467518516,8.69476541280744,5.80952380952381,21,6,0.898333063795219,58.3902866840363,1.07894657789416
